af      – Afrikaans  
am      – Amharic  
ar      – Arabic  
ay      – Aymara  
az      – Azerbaijani  
ba      – Bashkir  
be      – Belarusian  
bg      – Bulgarian  
bn      – Bengali  
bs      – Bosnian  
ca      – Catalan  
co      – Corsican  
cs      – Czech  
da      – Danish  
de      – German  
dv      – Divehi (Maldivian)  
ee      – Ewe  
el      – Greek  
es      – Spanish  
et      – Estonian  
eu      – Basque  
fa      – Persian (Farsi)  
fi      – Finnish  
fj      – Fijian  
fr      – French  
ga      – Irish  
gd      – Scottish Gaelic  
gl      – Galician  
gu      – Gujarati  
ha      – Hausa  
he      – Hebrew  
hi      – Hindi  
hr      – Croatian  
hu      – Hungarian  
hy      – Armenian  
id      – Indonesian  
ig      – Igbo  
is      – Icelandic  
it      – Italian  
ja      – Japanese  
jv      – Javanese  
ka      – Georgian  
kk      – Kazakh  
kn      – Kannada  
ko      – Korean  
ku      – Kurdish  
ky      – Kyrgyz  
lo      – Lao  
lt      – Lithuanian  
lv      – Latvian  
mk      – Macedonian  
ml      – Malayalam  
mn      – Mongolian  
mr      – Marathi  
ms      – Malay  
mt      – Maltese  
my      – Burmese  
ne      – Nepali  
nl      – Dutch  
no      – Norwegian  
or      – Odia (Oriya)  
pa      – Punjabi  
pl      – Polish  
ps      – Pashto  
pt-BR   – Portuguese (Brazil)  
pt      – Portuguese  
qu      – Quechua  
rm      – Romansh  
ro      – Romanian  
ru      – Russian  
rw      – Kinyarwanda  
si      – Sinhala  
sk      – Slovak  
sl      – Slovenian  
sn      – Shona  
so      – Somali  
sq      – Albanian  
sr      – Serbian  
su      – Sundanese  
sv      – Swedish  
sw      – Swahili  
ta      – Tamil  
te      – Telugu  
tg      – Tajik  
th      – Thai  
ti      – Tigrinya  
tk      – Turkmen  
tl      – Tagalog (Filipino)  
tr      – Turkish  
ts      – Tsonga  
tt      – Tatar  
uk      – Ukrainian  
ur      – Urdu  
uz      – Uzbek  
vi      – Vietnamese  
xh      – Xhosa  
yo      – Yoruba  
zh-TW   – Chinese (Traditional)  
zh      – Chinese (Simplified)  
zu      – Zulu 
