af      – африкаанс  
am      – амхарский  
ar      – арабский  
ay      – аймара  
az      – азербайджанский  
be      – белорусский  
bg      – болгарский  
bn      – бенгальский  
bs      – боснийский  
ca      – каталанский  
co      – корсиканский  
da      – датский  
de      – немецкий  
dv      – мальдивский (дивехи)  
ee      – эве  
el      – греческий  
es      – испанский  
et      – эстонский  
eu      – баскский  
fa      – персидский (фарси)  
fi      – финский  
fj      – фиджийский  
fr      – французский  
ga      – ирландский  
gd      – шотландский гэльский  
gl      – галисийский  
gu      – гуджарати  
ha      – хауса  
he      – иврит  
hi      – хинди  
hr      – хорватский  
hu      – венгерский  
hy      – армянский  
id      – индонезийский  
ig      – игбо  
is      – исландский  
it      – итальянский  
ja      – японский  
ka      – грузинский  
kk      – казахский  
kn      – каннада  
ko      – корейский  
ky      – киргизский  
lo      – лаосский  
lt      – литовский  
lv      – латышский  
mk      – македонский  
ml      – малаялам  
mn      – монгольский  
mr      – маратхи  
ms      – малайский  
mt      – мальтийский  
my      – бирманский  
ne      – непальский  
nl      – нидерландский  
no      – норвежский  
or      – ория  
pa      – пенджабский  
pl      – польский  
ps      – пушту  
pt-BR   – португальский (Бразилия)  
pt      – португальский  
qu      – кечуа  
rm      – ретороманский  
ro      – румынский  
ru      – русский  
rw      – киньяруанда  
si      – сингальский  
sk      – словацкий  
sl      – словенский  
sn      – шона  
so      – сомалийский  
sq      – албанский  
sr      – сербский  
sv      – шведский  
sw      – суахили  
ta      – тамильский  
te      – телугу  
tg      – таджикский  
th      – тайский  
ti      – тигринья  
tk      – туркменский  
tl      – тагальский (филиппинский)  
tr      – турецкий  
ts      – тсонга  
tt      – татарский  
uk      – украинский  
ur      – урду  
uz      – узбекский  
vi      – вьетнамский  
xh      – коса  
yo      – йоруба  
zh-TW   – китайский (традиционный)  
zh      – китайский (упрощённый)  
zu      – зулу
